Tanggal;Provinsi;Kondisi Penyerta;Total
2021-04-12;BENGKULU;Tidak ada;2901
2021-04-15;BENGKULU;Tidak ada;2944
2021-04-16;BENGKULU;Tidak ada;2971
2021-04-17;BENGKULU;Tidak ada;2998
2021-04-18;BENGKULU;Tidak ada;3046
2021-04-19;BENGKULU;Tidak ada;3059
2021-04-20;BENGKULU;Tidak ada;3084
2021-04-21;BENGKULU;Tidak ada;3127
2021-04-22;BENGKULU;Tidak ada;3137
2021-04-23;BENGKULU;Tidak ada;3182
2021-04-24;BENGKULU;Tidak ada;3202
2021-04-25;BENGKULU;Tidak ada;3259
2021-04-26;BENGKULU;Tidak ada;3280
2021-04-27;BENGKULU;Tidak ada;3315
2021-04-30;BENGKULU;Tidak ada;3391
2021-05-01;BENGKULU;Tidak ada;3442
2021-05-02;BENGKULU;Tidak ada;3480
2021-05-04;BENGKULU;Tidak ada;3510
2021-05-06;BENGKULU;Tidak ada;3553
2021-05-08;BENGKULU;Tidak ada;3623
2021-05-10;BENGKULU;Tidak ada;3651
2021-05-13;BENGKULU;Tidak ada;3701
2021-05-14;BENGKULU;Tidak ada;3716
2021-05-16;BENGKULU;Tidak ada;3722
2021-05-19;BENGKULU;Tidak ada;3754
2021-05-25;BENGKULU;Tidak ada;3897
2021-05-26;BENGKULU;Tidak ada;3910
2021-05-29;BENGKULU;Tidak ada;3993
2021-05-31;BENGKULU;Tidak ada;4037
2021-06-02;BENGKULU;Tidak ada;4064
2021-06-10;BENGKULU;Tidak ada;4229
2021-06-12;BENGKULU;Tidak ada;4283
2021-06-13;BENGKULU;Tidak ada;4334
2021-03-24;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;16027
2021-03-28;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;16406
2021-04-07;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;17392
2021-04-12;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;17858
2021-04-15;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18231
2021-04-16;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18340
2021-04-17;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18419
2021-04-18;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18490
2021-04-19;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18575
2021-04-20;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18680
2021-04-21;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18795
2021-04-22;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18923
2021-04-23;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;18992
2021-04-24;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19066
2021-04-25;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19178
2021-04-26;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19270
2021-04-27;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19352
2021-04-30;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19758
2021-05-01;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19822
2021-05-02;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;19912
2021-05-04;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20070
2021-05-06;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20301
2021-05-08;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20461
2021-05-10;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20602
2021-05-13;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20840
2021-05-14;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;20889
2021-05-16;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21003
2021-05-19;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21262
2021-05-25;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21823
2021-05-26;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;21918
2021-05-29;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22206
2021-05-31;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22373
2021-06-02;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;22617
2021-06-10;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;23716
2021-06-12;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;24143
2021-06-13;DAERAH ISTIMEWA YOGYAKARTA;Tidak ada;24376
2021-03-24;DKI JAKARTA;Tidak ada;186881
2021-03-28;DKI JAKARTA;Tidak ada;189846
2021-04-07;DKI JAKARTA;Tidak ada;194169
2021-04-12;DKI JAKARTA;Tidak ada;196645
2021-04-15;DKI JAKARTA;Tidak ada;198055
2021-04-16;DKI JAKARTA;Tidak ada;198544
2021-04-17;DKI JAKARTA;Tidak ada;199063
2021-04-18;DKI JAKARTA;Tidak ada;199538
2021-04-19;DKI JAKARTA;Tidak ada;200024
2021-04-20;DKI JAKARTA;Tidak ada;200254
2021-04-21;DKI JAKARTA;Tidak ada;200555
2021-04-22;DKI JAKARTA;Tidak ada;201188
2021-04-23;DKI JAKARTA;Tidak ada;201630
2021-04-24;DKI JAKARTA;Tidak ada;202084
2021-04-25;DKI JAKARTA;Tidak ada;202532
2021-04-26;DKI JAKARTA;Tidak ada;202906
2021-04-27;DKI JAKARTA;Tidak ada;203103
2021-04-30;DKI JAKARTA;Tidak ada;204310
2021-05-01;DKI JAKARTA;Tidak ada;204773
2021-05-02;DKI JAKARTA;Tidak ada;205200
2021-05-04;DKI JAKARTA;Tidak ada;205787
2021-05-06;DKI JAKARTA;Tidak ada;206662
2021-05-08;DKI JAKARTA;Tidak ada;207419
2021-05-10;DKI JAKARTA;Tidak ada;208171
2021-05-13;DKI JAKARTA;Tidak ada;209094
2021-05-14;DKI JAKARTA;Tidak ada;209410
2021-05-16;DKI JAKARTA;Tidak ada;209604
2021-05-19;DKI JAKARTA;Tidak ada;210230
2021-05-25;DKI JAKARTA;Tidak ada;212606
2021-05-26;DKI JAKARTA;Tidak ada;212915
2021-05-29;DKI JAKARTA;Tidak ada;214135
2021-05-31;DKI JAKARTA;Tidak ada;215030
2021-06-02;DKI JAKARTA;Tidak ada;215590
2021-06-10;DKI JAKARTA;Tidak ada;220277
2021-06-12;DKI JAKARTA;Tidak ada;222651
2021-06-13;DKI JAKARTA;Tidak ada;224036
2021-03-24;GORONTALO;Tidak ada;2538
2021-03-28;GORONTALO;Tidak ada;2560
2021-04-07;GORONTALO;Tidak ada;2613
2021-04-12;GORONTALO;Tidak ada;2629
2021-04-15;GORONTALO;Tidak ada;2649
2021-04-16;GORONTALO;Tidak ada;2652
2021-04-17;GORONTALO;Tidak ada;2658
2021-04-18;GORONTALO;Tidak ada;2662
2021-04-19;GORONTALO;Tidak ada;2662
2021-04-20;GORONTALO;Tidak ada;2666
2021-04-21;GORONTALO;Tidak ada;2666
2021-04-22;GORONTALO;Tidak ada;2669
2021-04-23;GORONTALO;Tidak ada;2670
2021-04-24;GORONTALO;Tidak ada;2673
2021-04-25;GORONTALO;Tidak ada;2673
2021-04-26;GORONTALO;Tidak ada;2678
2021-04-27;GORONTALO;Tidak ada;2678
2021-04-30;GORONTALO;Tidak ada;2697
2021-05-01;GORONTALO;Tidak ada;2700
2021-05-02;GORONTALO;Tidak ada;2700
2021-05-04;GORONTALO;Tidak ada;2704
2021-05-06;GORONTALO;Tidak ada;2711
2021-05-08;GORONTALO;Tidak ada;2712
2021-05-10;GORONTALO;Tidak ada;2712
2021-05-13;GORONTALO;Tidak ada;2716
2021-05-14;GORONTALO;Tidak ada;2717
2021-05-16;GORONTALO;Tidak ada;2718
2021-05-19;GORONTALO;Tidak ada;2725
2021-05-25;GORONTALO;Tidak ada;2736
2021-05-26;GORONTALO;Tidak ada;2737
2021-05-29;GORONTALO;Tidak ada;2746
2021-05-31;GORONTALO;Tidak ada;2753
2021-06-02;GORONTALO;Tidak ada;2755
2021-06-10;GORONTALO;Tidak ada;2772
2021-06-12;GORONTALO;Tidak ada;2777
2021-06-13;GORONTALO;Tidak ada;2779
2021-03-24;JAMBI;Tidak ada;2986
2021-03-28;JAMBI;Tidak ada;3066
2021-04-07;JAMBI;Tidak ada;3256
2021-04-12;JAMBI;Tidak ada;3323
2021-04-15;JAMBI;Tidak ada;3393
2021-04-16;JAMBI;Tidak ada;3419
2021-04-17;JAMBI;Tidak ada;3453
2021-04-18;JAMBI;Tidak ada;3477
2021-04-19;JAMBI;Tidak ada;3490
2021-04-20;JAMBI;Tidak ada;3527
2021-04-21;JAMBI;Tidak ada;3555
2021-04-22;JAMBI;Tidak ada;3598
2021-04-23;JAMBI;Tidak ada;3620
2021-04-24;JAMBI;Tidak ada;3652
2021-04-25;JAMBI;Tidak ada;3667
2021-04-26;JAMBI;Tidak ada;3688
2021-04-27;JAMBI;Tidak ada;3704
2021-04-30;JAMBI;Tidak ada;3835
2021-05-01;JAMBI;Tidak ada;3865
2021-05-02;JAMBI;Tidak ada;3904
2021-05-04;JAMBI;Tidak ada;3970
2021-05-06;JAMBI;Tidak ada;4063
2021-05-08;JAMBI;Tidak ada;4151
2021-05-10;JAMBI;Tidak ada;4224
2021-05-13;JAMBI;Tidak ada;4293
2021-05-14;JAMBI;Tidak ada;4325
2021-05-16;JAMBI;Tidak ada;4336
2021-05-19;JAMBI;Tidak ada;4371
2021-05-25;JAMBI;Tidak ada;4573
2021-05-26;JAMBI;Tidak ada;4611
2021-05-29;JAMBI;Tidak ada;4719
2021-05-31;JAMBI;Tidak ada;4806
2021-06-02;JAMBI;Tidak ada;4882
2021-06-10;JAMBI;Tidak ada;5323
2021-06-12;JAMBI;Tidak ada;5441
2021-06-13;JAMBI;Tidak ada;5508
2021-03-24;JAWA BARAT;Tidak ada;121875
2021-03-28;JAWA BARAT;Tidak ada;123394
2021-04-07;JAWA BARAT;Tidak ada;127615
2021-04-12;JAWA BARAT;Tidak ada;130025
2021-04-15;JAWA BARAT;Tidak ada;132144
2021-04-16;JAWA BARAT;Tidak ada;132643
2021-04-17;JAWA BARAT;Tidak ada;133059
2021-04-18;JAWA BARAT;Tidak ada;133444
2021-04-19;JAWA BARAT;Tidak ada;134154
2021-04-20;JAWA BARAT;Tidak ada;134854
2021-04-21;JAWA BARAT;Tidak ada;135356
2021-04-22;JAWA BARAT;Tidak ada;136035
2021-04-23;JAWA BARAT;Tidak ada;136568
2021-04-24;JAWA BARAT;Tidak ada;136883
2021-04-25;JAWA BARAT;Tidak ada;137224
2021-04-26;JAWA BARAT;Tidak ada;138195
2021-04-27;JAWA BARAT;Tidak ada;138777
2021-04-30;JAWA BARAT;Tidak ada;140603
2021-05-01;JAWA BARAT;Tidak ada;140980
2021-05-02;JAWA BARAT;Tidak ada;141316
2021-05-04;JAWA BARAT;Tidak ada;142418
2021-05-06;JAWA BARAT;Tidak ada;143434
2021-05-08;JAWA BARAT;Tidak ada;145515
2021-05-10;JAWA BARAT;Tidak ada;146296
2021-05-13;JAWA BARAT;Tidak ada;147590
2021-05-14;JAWA BARAT;Tidak ada;147895
2021-05-16;JAWA BARAT;Tidak ada;148652
2021-05-19;JAWA BARAT;Tidak ada;150502
2021-05-25;JAWA BARAT;Tidak ada;153916
2021-05-26;JAWA BARAT;Tidak ada;154246
2021-05-29;JAWA BARAT;Tidak ada;155997
2021-05-31;JAWA BARAT;Tidak ada;156975
2021-06-02;JAWA BARAT;Tidak ada;157886
2021-06-10;JAWA BARAT;Tidak ada;162760
2021-06-12;JAWA BARAT;Tidak ada;163849
2021-06-13;JAWA BARAT;Tidak ada;164470
2021-03-24;JAWA TENGAH;Tidak ada;83134
2021-03-28;JAWA TENGAH;Tidak ada;83638
2021-04-07;JAWA TENGAH;Tidak ada;85935
2021-04-12;JAWA TENGAH;Tidak ada;87229
2021-04-15;JAWA TENGAH;Tidak ada;88437
2021-04-16;JAWA TENGAH;Tidak ada;88771
2021-04-17;JAWA TENGAH;Tidak ada;89030
2021-04-18;JAWA TENGAH;Tidak ada;89228
2021-04-19;JAWA TENGAH;Tidak ada;89568
2021-04-20;JAWA TENGAH;Tidak ada;89908
2021-04-21;JAWA TENGAH;Tidak ada;90245
2021-04-22;JAWA TENGAH;Tidak ada;90545
2021-04-23;JAWA TENGAH;Tidak ada;90732
2021-04-24;JAWA TENGAH;Tidak ada;90890
2021-04-25;JAWA TENGAH;Tidak ada;91014
2021-04-26;JAWA TENGAH;Tidak ada;91337
2021-04-27;JAWA TENGAH;Tidak ada;91514
2021-04-30;JAWA TENGAH;Tidak ada;92122
2021-05-01;JAWA TENGAH;Tidak ada;92221
2021-05-02;JAWA TENGAH;Tidak ada;92310
2021-05-04;JAWA TENGAH;Tidak ada;92763
2021-05-06;JAWA TENGAH;Tidak ada;93205
2021-05-08;JAWA TENGAH;Tidak ada;93537
2021-05-10;JAWA TENGAH;Tidak ada;94033
2021-05-13;JAWA TENGAH;Tidak ada;94597
2021-05-14;JAWA TENGAH;Tidak ada;94678
2021-05-16;JAWA TENGAH;Tidak ada;94975
2021-05-19;JAWA TENGAH;Tidak ada;95794
2021-05-25;JAWA TENGAH;Tidak ada;97619
2021-05-26;JAWA TENGAH;Tidak ada;97893
2021-05-29;JAWA TENGAH;Tidak ada;99099
2021-05-31;JAWA TENGAH;Tidak ada;100043
2021-06-02;JAWA TENGAH;Tidak ada;100838
2021-06-10;JAWA TENGAH;Tidak ada;105582
2021-06-12;JAWA TENGAH;Tidak ada;106553
2021-06-13;JAWA TENGAH;Tidak ada;107842
2021-03-24;JAWA TIMUR;Tidak ada;68739
2021-03-28;JAWA TIMUR;Tidak ada;69353
2021-04-07;JAWA TIMUR;Tidak ada;70707
2021-04-12;JAWA TIMUR;Tidak ada;71398
2021-04-15;JAWA TIMUR;Tidak ada;71805
2021-04-16;JAWA TIMUR;Tidak ada;71950
2021-04-17;JAWA TIMUR;Tidak ada;72093
2021-04-18;JAWA TIMUR;Tidak ada;72213
2021-04-19;JAWA TIMUR;Tidak ada;72339
2021-04-20;JAWA TIMUR;Tidak ada;72469
2021-04-21;JAWA TIMUR;Tidak ada;72620
2021-04-22;JAWA TIMUR;Tidak ada;72766
2021-04-23;JAWA TIMUR;Tidak ada;72916
2021-04-24;JAWA TIMUR;Tidak ada;73044
2021-04-25;JAWA TIMUR;Tidak ada;73162
2021-04-26;JAWA TIMUR;Tidak ada;73286
2021-04-27;JAWA TIMUR;Tidak ada;73404
2021-04-30;JAWA TIMUR;Tidak ada;73873
2021-05-01;JAWA TIMUR;Tidak ada;73989
2021-05-02;JAWA TIMUR;Tidak ada;74092
2021-05-04;JAWA TIMUR;Tidak ada;74344
2021-05-06;JAWA TIMUR;Tidak ada;74607
2021-05-08;JAWA TIMUR;Tidak ada;74836
2021-05-10;JAWA TIMUR;Tidak ada;75054
2021-05-13;JAWA TIMUR;Tidak ada;75380
2021-05-14;JAWA TIMUR;Tidak ada;75451
2021-05-16;JAWA TIMUR;Tidak ada;75624
2021-05-19;JAWA TIMUR;Tidak ada;75966
2021-05-25;JAWA TIMUR;Tidak ada;76670
2021-05-26;JAWA TIMUR;Tidak ada;76798
2021-05-29;JAWA TIMUR;Tidak ada;77158
2021-05-31;JAWA TIMUR;Tidak ada;77391
2021-06-02;JAWA TIMUR;Tidak ada;77623
2021-06-10;JAWA TIMUR;Tidak ada;78921
2021-06-12;JAWA TIMUR;Tidak ada;79321
2021-06-13;JAWA TIMUR;Tidak ada;79530
2021-03-24;KALIMANTAN BARAT;Tidak ada;2824
2021-03-28;KALIMANTAN BARAT;Tidak ada;2905
2021-04-07;KALIMANTAN BARAT;Tidak ada;3084
2021-04-12;KALIMANTAN BARAT;Tidak ada;3207
2021-04-15;KALIMANTAN BARAT;Tidak ada;3337
2021-04-16;KALIMANTAN BARAT;Tidak ada;3386
2021-04-17;KALIMANTAN BARAT;Tidak ada;3434
2021-04-18;KALIMANTAN BARAT;Tidak ada;3473
2021-04-19;KALIMANTAN BARAT;Tidak ada;3473
2021-04-20;KALIMANTAN BARAT;Tidak ada;3512
2021-04-21;KALIMANTAN BARAT;Tidak ada;3561
2021-04-22;KALIMANTAN BARAT;Tidak ada;3610
2021-04-23;KALIMANTAN BARAT;Tidak ada;3656
2021-04-24;KALIMANTAN BARAT;Tidak ada;3704
2021-04-25;KALIMANTAN BARAT;Tidak ada;3724
2021-04-26;KALIMANTAN BARAT;Tidak ada;3724
2021-04-27;KALIMANTAN BARAT;Tidak ada;3752
2021-04-30;KALIMANTAN BARAT;Tidak ada;3869
2021-05-01;KALIMANTAN BARAT;Tidak ada;3918
2021-05-02;KALIMANTAN BARAT;Tidak ada;3966
2021-05-04;KALIMANTAN BARAT;Tidak ada;4024
2021-05-06;KALIMANTAN BARAT;Tidak ada;4142
2021-05-08;KALIMANTAN BARAT;Tidak ada;4246
2021-05-10;KALIMANTAN BARAT;Tidak ada;4340
2021-05-13;KALIMANTAN BARAT;Tidak ada;4505
2021-05-14;KALIMANTAN BARAT;Tidak ada;4558
2021-05-16;KALIMANTAN BARAT;Tidak ada;4640
2021-05-19;KALIMANTAN BARAT;Tidak ada;4801
2021-05-25;KALIMANTAN BARAT;Tidak ada;5123
2021-05-26;KALIMANTAN BARAT;Tidak ada;5184
2021-05-29;KALIMANTAN BARAT;Tidak ada;5342
2021-05-31;KALIMANTAN BARAT;Tidak ada;5427
2021-06-02;KALIMANTAN BARAT;Tidak ada;5534
2021-06-10;KALIMANTAN BARAT;Tidak ada;5953
2021-06-12;KALIMANTAN BARAT;Tidak ada;6098
2021-06-13;KALIMANTAN BARAT;Tidak ada;6166
2021-03-24;KALIMANTAN SELATAN;Tidak ada;13077
2021-03-28;KALIMANTAN SELATAN;Tidak ada;13560
2021-04-07;KALIMANTAN SELATAN;Tidak ada;14659
2021-04-12;KALIMANTAN SELATAN;Tidak ada;15240
2021-04-15;KALIMANTAN SELATAN;Tidak ada;15549
2021-04-16;KALIMANTAN SELATAN;Tidak ada;15626
2021-04-17;KALIMANTAN SELATAN;Tidak ada;15704
2021-04-18;KALIMANTAN SELATAN;Tidak ada;15797
2021-04-19;KALIMANTAN SELATAN;Tidak ada;15812
2021-04-20;KALIMANTAN SELATAN;Tidak ada;15886
2021-04-21;KALIMANTAN SELATAN;Tidak ada;15933
2021-04-22;KALIMANTAN SELATAN;Tidak ada;16036
2021-04-23;KALIMANTAN SELATAN;Tidak ada;16135
2021-04-24;KALIMANTAN SELATAN;Tidak ada;16221
2021-04-25;KALIMANTAN SELATAN;Tidak ada;16249
2021-04-26;KALIMANTAN SELATAN;Tidak ada;16257
2021-04-27;KALIMANTAN SELATAN;Tidak ada;16306
2021-04-30;KALIMANTAN SELATAN;Tidak ada;16479
2021-05-01;KALIMANTAN SELATAN;Tidak ada;16523
2021-05-02;KALIMANTAN SELATAN;Tidak ada;16529
2021-05-04;KALIMANTAN SELATAN;Tidak ada;16574
2021-05-06;KALIMANTAN SELATAN;Tidak ada;16660
2021-05-08;KALIMANTAN SELATAN;Tidak ada;16786
2021-05-10;KALIMANTAN SELATAN;Tidak ada;16829
2021-05-13;KALIMANTAN SELATAN;Tidak ada;16908
2021-05-14;KALIMANTAN SELATAN;Tidak ada;16918
2021-05-16;KALIMANTAN SELATAN;Tidak ada;16937
2021-05-19;KALIMANTAN SELATAN;Tidak ada;16998
2021-05-25;KALIMANTAN SELATAN;Tidak ada;17177
2021-05-26;KALIMANTAN SELATAN;Tidak ada;17218
2021-05-29;KALIMANTAN SELATAN;Tidak ada;17335
2021-05-31;KALIMANTAN SELATAN;Tidak ada;17380
2021-06-02;KALIMANTAN SELATAN;Tidak ada;17407
2021-06-10;KALIMANTAN SELATAN;Tidak ada;17600
2021-06-12;KALIMANTAN SELATAN;Tidak ada;17628
2021-06-13;KALIMANTAN SELATAN;Tidak ada;17643
2021-03-24;KALIMANTAN TENGAH;Tidak ada;8213
2021-03-28;KALIMANTAN TENGAH;Tidak ada;8461
2021-04-07;KALIMANTAN TENGAH;Tidak ada;8923
2021-04-12;KALIMANTAN TENGAH;Tidak ada;9177
2021-04-15;KALIMANTAN TENGAH;Tidak ada;9314
2021-04-16;KALIMANTAN TENGAH;Tidak ada;9372
2021-04-17;KALIMANTAN TENGAH;Tidak ada;9431
2021-04-18;KALIMANTAN TENGAH;Tidak ada;9477
2021-04-19;KALIMANTAN TENGAH;Tidak ada;9516
2021-04-20;KALIMANTAN TENGAH;Tidak ada;9587
2021-04-21;KALIMANTAN TENGAH;Tidak ada;9635
2021-04-22;KALIMANTAN TENGAH;Tidak ada;9671
2021-04-23;KALIMANTAN TENGAH;Tidak ada;9713
2021-04-24;KALIMANTAN TENGAH;Tidak ada;9773
2021-04-25;KALIMANTAN TENGAH;Tidak ada;9813
2021-04-26;KALIMANTAN TENGAH;Tidak ada;9862
2021-04-27;KALIMANTAN TENGAH;Tidak ada;9890
2021-04-30;KALIMANTAN TENGAH;Tidak ada;10036
2021-05-01;KALIMANTAN TENGAH;Tidak ada;10090
2021-05-02;KALIMANTAN TENGAH;Tidak ada;10114
2021-05-04;KALIMANTAN TENGAH;Tidak ada;10202
2021-05-06;KALIMANTAN TENGAH;Tidak ada;10284
2021-05-08;KALIMANTAN TENGAH;Tidak ada;10389
2021-05-10;KALIMANTAN TENGAH;Tidak ada;10464
2021-05-13;KALIMANTAN TENGAH;Tidak ada;10562
2021-05-14;KALIMANTAN TENGAH;Tidak ada;10590
2021-05-16;KALIMANTAN TENGAH;Tidak ada;10626
2021-05-19;KALIMANTAN TENGAH;Tidak ada;10737
2021-05-25;KALIMANTAN TENGAH;Tidak ada;10996
2021-05-26;KALIMANTAN TENGAH;Tidak ada;11041
2021-05-29;KALIMANTAN TENGAH;Tidak ada;11190
2021-05-31;KALIMANTAN TENGAH;Tidak ada;11282
2021-06-02;KALIMANTAN TENGAH;Tidak ada;11354
2021-06-10;KALIMANTAN TENGAH;Tidak ada;11740
2021-06-12;KALIMANTAN TENGAH;Tidak ada;11833
2021-06-13;KALIMANTAN TENGAH;Tidak ada;11882
2021-03-24;KALIMANTAN TIMUR;Tidak ada;31081
2021-03-28;KALIMANTAN TIMUR;Tidak ada;31546
2021-04-07;KALIMANTAN TIMUR;Tidak ada;32429
2021-04-12;KALIMANTAN TIMUR;Tidak ada;32850
2021-04-15;KALIMANTAN TIMUR;Tidak ada;33120
2021-04-16;KALIMANTAN TIMUR;Tidak ada;33184
2021-04-17;KALIMANTAN TIMUR;Tidak ada;33288
2021-04-18;KALIMANTAN TIMUR;Tidak ada;33381
2021-04-19;KALIMANTAN TIMUR;Tidak ada;33439
2021-04-20;KALIMANTAN TIMUR;Tidak ada;33514
2021-04-21;KALIMANTAN TIMUR;Tidak ada;33607
2021-04-22;KALIMANTAN TIMUR;Tidak ada;33697
2021-04-23;KALIMANTAN TIMUR;Tidak ada;33791
